[09:21:44] l=16384 n=65536 t=189 n_vus=170 m1=631 m2=2508 m=3139 committed 0.77 GiB (int32) / 1.53 GiB (int64 as run)
[09:21:57] sub-batch 0: accepted=True (accept (0.262s)); host witness 3.0s; prover 9.44s (witness 0.18, commit1 4.68, challenges1 0.09, helpers 1.06, commit2 3.02, self_check 0.08, irs_sum 0.05, quadratic 0.24, chain 0.03, openings 0.01); verifier 0.26s; proof 4.5 MB; peak 7.72 GiB
[09:22:08] sub-batch 1: accepted=True (accept (0.257s)); host witness 4.9s; prover 5.87s (witness 0.17, commit1 1.39, challenges1 0.04, helpers 1.06, commit2 2.91, irs_sum 0.06, quadratic 0.22, chain 0.01, openings 0.01); verifier 0.26s; proof 4.5 MB; peak 7.72 GiB
[09:22:19] sub-batch 2: accepted=True (accept (0.256s)); host witness 5.1s; prover 5.70s (witness 0.16, commit1 1.35, challenges1 0.04, helpers 1.05, commit2 2.80, irs_sum 0.06, quadratic 0.22, chain 0.01, openings 0.01); verifier 0.26s; proof 4.5 MB; peak 7.72 GiB
[09:22:31] sub-batch 3: accepted=True (accept (0.265s)); host witness 5.3s; prover 5.88s (witness 0.16, commit1 1.39, challenges1 0.05, helpers 1.07, commit2 2.91, irs_sum 0.06, quadratic 0.22, chain 0.01, openings 0.01); verifier 0.27s; proof 4.5 MB; peak 7.72 GiB
[09:22:42] sub-batch 4: accepted=True (accept (0.258s)); host witness 5.5s; prover 5.81s (witness 0.17, commit1 1.36, challenges1 0.04, helpers 1.06, commit2 2.87, irs_sum 0.06, quadratic 0.22, chain 0.01, openings 0.01); verifier 0.26s; proof 4.5 MB; peak 7.72 GiB
[09:22:54] sub-batch 5: accepted=True (accept (0.257s)); host witness 5.5s; prover 5.68s (witness 0.16, commit1 1.39, challenges1 0.04, helpers 1.06, commit2 2.74, irs_sum 0.06, quadratic 0.22, chain 0.01, openings 0.01); verifier 0.26s; proof 4.5 MB; peak 7.72 GiB
[09:23:05] sub-batch 6: accepted=True (accept (0.256s)); host witness 5.6s; prover 5.72s (witness 0.16, commit1 1.29, challenges1 0.05, helpers 1.08, commit2 2.85, irs_sum 0.06, quadratic 0.22, chain 0.01, openings 0.01); verifier 0.26s; proof 4.5 MB; peak 7.72 GiB
[09:23:17] sub-batch 7: accepted=True (accept (0.255s)); host witness 5.9s; prover 5.78s (witness 0.17, commit1 1.28, challenges1 0.04, helpers 1.07, commit2 2.93, irs_sum 0.05, quadratic 0.22, chain 0.01, openings 0.01); verifier 0.26s; proof 4.5 MB; peak 7.72 GiB
[09:23:29] sub-batch 8: accepted=True (accept (0.254s)); host witness 5.9s; prover 5.72s (witness 0.16, commit1 1.39, challenges1 0.04, helpers 1.07, commit2 2.77, irs_sum 0.06, quadratic 0.22, chain 0.01, openings 0.01); verifier 0.25s; proof 4.5 MB; peak 7.72 GiB
[09:23:42] sub-batch 9: accepted=True (accept (0.256s)); host witness 6.3s; prover 5.77s (witness 0.16, commit1 1.30, challenges1 0.05, helpers 1.07, commit2 2.91, irs_sum 0.06, quadratic 0.22, chain 0.01, openings 0.01); verifier 0.26s; proof 4.5 MB; peak 7.72 GiB
[09:23:53] sub-batch 10: accepted=True (accept (0.260s)); host witness 6.0s; prover 5.46s (witness 0.16, commit1 1.18, challenges1 0.05, helpers 1.13, commit2 2.64, irs_sum 0.06, quadratic 0.22, chain 0.01, openings 0.01); verifier 0.26s; proof 4.5 MB; peak 7.72 GiB
