/workspace/fused-phases/equiv-check/files/bf16-hopper-v2/instance-equiv-bf16-hopper-v2-4096.json: bf16-hopper-v2 reproduces; equal=True; file by verity_numerical.bench.instance_equiv@5b30c99ba7c6b0cbbf75f934799c4b62c4f0ab09, re-derived by verity_numerical.bench.instance_equiv@unknown
/workspace/fused-phases/equiv-check/files/bf16-hopper-v2x4/instance-equiv-bf16-hopper-v2x4-4096.json: bf16-hopper-v2x4 reproduces; equal=True; file by verity_numerical.bench.instance_equiv@5b30c99ba7c6b0cbbf75f934799c4b62c4f0ab09, re-derived by verity_numerical.bench.instance_equiv@unknown
/workspace/fused-phases/equiv-check/files/bf16-hopper-v3/instance-equiv-bf16-hopper-v3-4096.json: bf16-hopper-v3 reproduces; equal=True; file by verity_numerical.bench.instance_equiv@5b30c99ba7c6b0cbbf75f934799c4b62c4f0ab09, re-derived by verity_numerical.bench.instance_equiv@unknown
/workspace/fused-phases/equiv-check/files/bf16-hopper-v3x4/instance-equiv-bf16-hopper-v3x4-4096.json: bf16-hopper-v3x4 reproduces; equal=True; file by verity_numerical.bench.instance_equiv@5b30c99ba7c6b0cbbf75f934799c4b62c4f0ab09, re-derived by verity_numerical.bench.instance_equiv@unknown
/workspace/fused-phases/equiv-check/files/bf16-hopper-x4/instance-equiv-bf16-hopper-x4-4096.json: bf16-hopper-x4 reproduces; equal=True; file by verity_numerical.bench.instance_equiv@5b30c99ba7c6b0cbbf75f934799c4b62c4f0ab09, re-derived by verity_numerical.bench.instance_equiv@unknown
/workspace/fused-phases/equiv-check/files/fp8-ada-v2/instance-equiv-fp8-ada-v2-4096.json: fp8-ada-v2 reproduces; equal=True; file by verity_numerical.bench.instance_equiv@5b30c99ba7c6b0cbbf75f934799c4b62c4f0ab09, re-derived by verity_numerical.bench.instance_equiv@unknown
/workspace/fused-phases/equiv-check/files/fp8-ada-v2x4/instance-equiv-fp8-ada-v2x4-4096.json: fp8-ada-v2x4 reproduces; equal=True; file by verity_numerical.bench.instance_equiv@5b30c99ba7c6b0cbbf75f934799c4b62c4f0ab09, re-derived by verity_numerical.bench.instance_equiv@unknown
/workspace/fused-phases/equiv-check/files/fp8-ada-v3/instance-equiv-fp8-ada-v3-4096.json: fp8-ada-v3 reproduces; equal=True; file by verity_numerical.bench.instance_equiv@5b30c99ba7c6b0cbbf75f934799c4b62c4f0ab09, re-derived by verity_numerical.bench.instance_equiv@unknown
/workspace/fused-phases/equiv-check/files/fp8-ada-v3x4/instance-equiv-fp8-ada-v3x4-4096.json: fp8-ada-v3x4 reproduces; equal=True; file by verity_numerical.bench.instance_equiv@5b30c99ba7c6b0cbbf75f934799c4b62c4f0ab09, re-derived by verity_numerical.bench.instance_equiv@unknown
/workspace/fused-phases/equiv-check/files/fp8-ada-x4/instance-equiv-fp8-ada-x4-4096.json: fp8-ada-x4 reproduces; equal=True; file by verity_numerical.bench.instance_equiv@5b30c99ba7c6b0cbbf75f934799c4b62c4f0ab09, re-derived by verity_numerical.bench.instance_equiv@unknown
/workspace/fused-phases/equiv-check/files/fp8-hopper-v2/instance-equiv-fp8-hopper-v2-4096.json: fp8-hopper-v2 reproduces; equal=True; file by verity_numerical.bench.instance_equiv@5b30c99ba7c6b0cbbf75f934799c4b62c4f0ab09, re-derived by verity_numerical.bench.instance_equiv@unknown
/workspace/fused-phases/equiv-check/files/fp8-hopper-v2x4/instance-equiv-fp8-hopper-v2x4-4096.json: fp8-hopper-v2x4 reproduces; equal=True; file by verity_numerical.bench.instance_equiv@5b30c99ba7c6b0cbbf75f934799c4b62c4f0ab09, re-derived by verity_numerical.bench.instance_equiv@unknown
/workspace/fused-phases/equiv-check/files/fp8-hopper-v3/instance-equiv-fp8-hopper-v3-4096.json: fp8-hopper-v3 reproduces; equal=True; file by verity_numerical.bench.instance_equiv@5b30c99ba7c6b0cbbf75f934799c4b62c4f0ab09, re-derived by verity_numerical.bench.instance_equiv@unknown
/workspace/fused-phases/equiv-check/files/fp8-hopper-v3x4/instance-equiv-fp8-hopper-v3x4-4096.json: fp8-hopper-v3x4 reproduces; equal=True; file by verity_numerical.bench.instance_equiv@5b30c99ba7c6b0cbbf75f934799c4b62c4f0ab09, re-derived by verity_numerical.bench.instance_equiv@unknown
/workspace/fused-phases/equiv-check/files/fp8-hopper-x4/instance-equiv-fp8-hopper-x4-4096.json: fp8-hopper-x4 reproduces; equal=True; file by verity_numerical.bench.instance_equiv@5b30c99ba7c6b0cbbf75f934799c4b62c4f0ab09, re-derived by verity_numerical.bench.instance_equiv@unknown
CHECK_DONE rc=0
