== r20260923-080108-ca9c: 13 proofs: 13 accepted, 0 rejected (13 against their own coins); batch ACCEPT (accept: all 13 sub-batches accepted; union bound 2^-128.52 <= 2^-128); batch bits 128.516714 at target 128; system pinned (fp8-ada); python agreement 13/13 (0 disagree); verify sum 4.839s, wall 0.398s at 13 jobs x 1 threads
== r20260923-080502-e138: 13 proofs: 13 accepted, 0 rejected (13 against their own coins); batch ACCEPT (accept: all 13 sub-batches accepted; union bound 2^-128.32 <= 2^-128); batch bits 128.319381 at target 128; system pinned (fp8-ada); python agreement 13/13 (0 disagree); verify sum 4.778s, wall 0.396s at 13 jobs x 1 threads
== r20260923-080538-bc48: 13 proofs: 13 accepted, 0 rejected (0 against their own coins); batch ACCEPT (accept: all 13 sub-batches accepted; union bound 2^-128.32 <= 2^-128); batch bits 128.321913 at target 128; system pinned (fp8-ada); python agreement 13/13 (0 disagree); verify sum 5.950s, wall 0.491s at 13 jobs x 1 threads
== r20260923-081059-8ff6: 13 proofs: 13 accepted, 0 rejected (13 against their own coins); batch ACCEPT (accept: all 13 sub-batches accepted; union bound 2^-128.52 <= 2^-128); batch bits 128.516714 at target 128; system pinned (fp8-ada+hash); python agreement 13/13 (0 disagree); verify sum 12.365s, wall 1.002s at 13 jobs x 1 threads
== r20260923-081227-ac87: 13 proofs: 13 accepted, 0 rejected (13 against their own coins); batch ACCEPT (accept: all 13 sub-batches accepted; union bound 2^-128.32 <= 2^-128); batch bits 128.319381 at target 128; system pinned (fp8-ada+hash); python agreement 13/13 (0 disagree); verify sum 12.367s, wall 1.003s at 13 jobs x 1 threads
== r20260923-081315-9f58: 13 proofs: 13 accepted, 0 rejected (0 against their own coins); batch ACCEPT (accept: all 13 sub-batches accepted; union bound 2^-128.32 <= 2^-128); batch bits 128.321913 at target 128; system pinned (fp8-ada+hash); python agreement 13/13 (0 disagree); verify sum 15.446s, wall 1.246s at 13 jobs x 1 threads
== r20260923-081405-f700: 13 proofs: 13 accepted, 0 rejected (13 against their own coins); batch ACCEPT (accept: all 13 sub-batches accepted; union bound 2^-128.52 <= 2^-128); batch bits 128.516714 at target 128; system pinned (fp8-ada+hash); python agreement 13/13 (0 disagree); verify sum 12.272s, wall 0.992s at 13 jobs x 1 threads
== r20260923-081455-e50f: 13 proofs: 13 accepted, 0 rejected (13 against their own coins); batch ACCEPT (accept: all 13 sub-batches accepted; union bound 2^-128.32 <= 2^-128); batch bits 128.319381 at target 128; system pinned (fp8-ada+hash); python agreement 13/13 (0 disagree); verify sum 12.382s, wall 1.004s at 13 jobs x 1 threads
== r20260923-081543-d32f: 13 proofs: 13 accepted, 0 rejected (0 against their own coins); batch ACCEPT (accept: all 13 sub-batches accepted; union bound 2^-128.32 <= 2^-128); batch bits 128.321913 at target 128; system pinned (fp8-ada+hash); python agreement 13/13 (0 disagree); verify sum 15.583s, wall 1.261s at 13 jobs x 1 threads
== r20260923-081632-0fb3: 25 proofs: 25 accepted, 0 rejected (25 against their own coins); batch ACCEPT (accept: all 25 sub-batches accepted; union bound 2^-128.05 <= 2^-128); batch bits 128.049535 at target 128; system pinned (bf16-hopper+hash); python agreement 25/25 (0 disagree); verify sum 23.670s, wall 1.979s at 13 jobs x 1 threads
== r20260923-081743-40d3: 13 proofs: 13 accepted, 0 rejected (13 against their own coins); batch ACCEPT (accept: all 13 sub-batches accepted; union bound 2^-128.32 <= 2^-128); batch bits 128.319381 at target 128; system pinned (fp8-hopper+hash); python agreement 13/13 (0 disagree); verify sum 12.386s, wall 0.999s at 13 jobs x 1 threads
== r20260923-081851-3955: 25 proofs: 25 accepted, 0 rejected (25 against their own coins); batch ACCEPT (accept: all 25 sub-batches accepted; union bound 2^-128.05 <= 2^-128); batch bits 128.049535 at target 128; system pinned (bf16-hopper); python agreement 25/25 (0 disagree); verify sum 7.612s, wall 0.626s at 13 jobs x 1 threads
== r20260923-082033-2e0f: 13 proofs: 13 accepted, 0 rejected (13 against their own coins); batch ACCEPT (accept: all 13 sub-batches accepted; union bound 2^-128.32 <= 2^-128); batch bits 128.319381 at target 128; system pinned (fp8-hopper); python agreement 13/13 (0 disagree); verify sum 4.741s, wall 0.398s at 13 jobs x 1 threads
