sub_00.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.402s  python=true (accept (0.034s))
sub_01.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.405s  python=true (accept (0.027s))
sub_02.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.408s  python=true (accept (0.027s))
sub_03.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.418s  python=true (accept (0.029s))
sub_04.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.415s  python=true (accept (0.027s))
sub_05.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.410s  python=true (accept (0.027s))
sub_06.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.412s  python=true (accept (0.029s))
sub_07.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.411s  python=true (accept (0.027s))
sub_08.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.405s  python=true (accept (0.027s))
sub_09.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.396s  python=true (accept (0.028s))
sub_10.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.392s  python=true (accept (0.027s))
sub_11.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.401s  python=true (accept (0.027s))
sub_12.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.396s  python=true (accept (0.027s))
13 proofs: 13 accepted, 0 rejected (13 against their own coins); batch ACCEPT (accept: all 13 sub-batches accepted; union bound 2^-128.32 <= 2^-128); batch bits 128.319381 at target 128; system pinned (fp8-ada); python agreement 13/13 (0 disagree); verify sum 5.271s, wall 0.825s at 7 jobs x 1 threads
