tree=/workspace/src-base impl=device rel=fp8-hopper zk=True mode=interactive vus/sub=341 subs=13 seed=7
  shake overlapped (libcrypto): True
  warm-up done; urandom counter reset to 1
  pipeline stats: {'n': 13, 'depth': 4, 'wall': 0.4428, 'host_busy': 0.3661, 'host_waited': 0.076, 'net_idle': 0.0, 'stage_busy_ms': {-1: 0.7, 0: 19.67, 1: 0.96, 2: 290.5, 3: 23.46, 4: 31.47}}
  pipelined pass: 13 sub-batches in 0.443s wall = 34.1 ms/sub-batch; measured phases {'measured_statement': 0.0016, 'measured_hints_host': 0.0301, 'measured_witness': 0.0029, 'measured_zk_masks': 0.0004, 'measured_encode': 0.078, 'measured_transfer': 0.0, 'measured_merkle': 0.0, 'measured_tests_w': 0.6912, 'measured_tests_quad': 0.0, 'measured_tests_chain': 0.0, 'measured_openings': 0.0325, 'measured_total': 0.8399}
  sub_00: 4.79 MB, prove 0.033s (+hints 0.001s), urandom calls so far 66
  sub_01: 4.79 MB, prove 0.031s (+hints 0.003s), urandom calls so far 66
  sub_02: 4.79 MB, prove 0.033s (+hints 0.001s), urandom calls so far 66
  sub_03: 4.79 MB, prove 0.030s (+hints 0.004s), urandom calls so far 66
  sub_04: 4.79 MB, prove 0.034s (+hints 0.000s), urandom calls so far 66
  sub_05: 4.79 MB, prove 0.033s (+hints 0.001s), urandom calls so far 66
  sub_06: 4.79 MB, prove 0.033s (+hints 0.001s), urandom calls so far 66
  sub_07: 4.79 MB, prove 0.032s (+hints 0.002s), urandom calls so far 66
  sub_08: 4.79 MB, prove 0.033s (+hints 0.001s), urandom calls so far 66
  sub_09: 4.79 MB, prove 0.033s (+hints 0.001s), urandom calls so far 66
  sub_10: 4.79 MB, prove 0.032s (+hints 0.003s), urandom calls so far 66
  sub_11: 4.79 MB, prove 0.032s (+hints 0.002s), urandom calls so far 66
  sub_12: 4.79 MB, prove 0.034s (+hints 0.000s), urandom calls so far 66
wrote /workspace/t1/bx_fp8-hopper_base 40 files
