sub_00.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.307s  python=true (accept (0.028s))
sub_01.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.330s  python=true (accept (0.030s))
sub_02.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.346s  python=true (accept (0.022s))
sub_03.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.391s  python=true (accept (0.022s))
sub_04.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.295s  python=true (accept (0.022s))
sub_05.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.296s  python=true (accept (0.022s))
sub_06.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.305s  python=true (accept (0.022s))
sub_07.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.342s  python=true (accept (0.022s))
sub_08.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.310s  python=true (accept (0.022s))
sub_09.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.303s  python=true (accept (0.022s))
sub_10.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.318s  python=true (accept (0.023s))
sub_11.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.316s  python=true (accept (0.022s))
sub_12.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.298s  python=true (accept (0.022s))
sub_13.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.316s  python=true (accept (0.022s))
sub_14.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.332s  python=true (accept (0.022s))
sub_15.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.294s  python=true (accept (0.022s))
sub_16.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.316s  python=true (accept (0.022s))
sub_17.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.324s  python=true (accept (0.022s))
sub_18.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.283s  python=true (accept (0.022s))
sub_19.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.283s  python=true (accept (0.022s))
sub_20.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.283s  python=true (accept (0.022s))
sub_21.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.335s  python=true (accept (0.022s))
sub_22.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.349s  python=true (accept (0.022s))
sub_23.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.323s  python=true (accept (0.022s))
sub_24.proof: ACCEPT (accept (interactive: coins are this verifier's step-0 coins)) 0.334s  python=true (accept (0.022s))
25 proofs: 25 accepted, 0 rejected (25 against their own coins); batch ACCEPT (accept: all 25 sub-batches accepted; union bound 2^-128.05 <= 2^-128); batch bits 128.049535 at target 128; system pinned (bf16-hopper); python agreement 25/25 (0 disagree); verify sum 7.929s, wall 0.646s at 23 jobs x 1 threads
