id	remote	local	json_extract(manifest_json,"$.meta.tag")
art:4fb1ce070b34d2b863f48594650f9e63df53019893180c683957a7e9d7e61dcc	1	1	b3p4
art:df95abc6c84aa4ed343ffc0e032c8cea1e95436fb7bc812fe66e9b7736398e80	1	1	b1p4
art:82f7f2e3c2c7f821184425d3c95f083acaac931aebb536765d7c6cd8f605c416	1	1	b1p4L
art:9c1a70acd645da1cafb81d114e594fdd03d8e55315581424226f674b2021c778	1	1	b1p4r2
art:c1c0e96333299ee40e117265fc6b9ff6520fbb5222cd5ec5de02ec8076dab8a9	1	1	b1p4r3
art:ad2b22117e51df8d0ecbb723f290a0439160c94adfb02c0ac390cce2ae03a1b4	1	1	b1p8
art:3bbc1e5ca73eaf92d4821c9397c485ffacc6221aa5b2f0ad693f24f99460ce1b	1	1	b1p8L
art:16a49b9f2847662b5190cc2b963dc26965b66a1be81d7066ebdc78afd8219ece	1	1	b1p8r2
art:cec196b327bfd5bd96c29a4b12eb9c86b80ba3282162bd266e81b9b73658942b	1	1	b1p8r3
art:2727c873733cd571e5a0e6c54697984999e6bad75f3d60313cf2db7e26cbf87e	1	1	b3p2
art:4a1858610398d57f848e3842c9c3a74312237c396e1a291a6ceeb540829e7e7b	1	1	b3p4L
art:6dee7b6d1befd76d2486761f6c2ad61d4fde4fde04f50333dc22a4ce2d9f447e	1	1	b3p4r2
art:620f872c453475fee67f78dcc21217a08fbd6346e5601c2fb354b92b10bfb466	1	1	b3p4r3
art:1f7a476d8d6613648a2e52ca6a90469ae36bd1a5d3557f79c49ed6c4d9fd5fd4	1	1	b3p8
art:a4bb429737c40d6a17700019c7db5162a1347cd5fbdf3c4a7a4ddbe27d891468	1	1	b3p8L
art:de67c821eaa169b74c82db0c3c94236d1f87045854b5436d584c589f94a5d3d2	1	1	b3p8r2
art:1c4f761950b9711b40b968fbe67a69ee936fcbb5855ff8f033156087e89ebbe8	1	1	b3p8r3
art:fa8b7d5a4840406d144e85804441085c02f1fa9518a4f179927c6aabee098f3a	1	1	f1p4
art:f04bb29b28708945211f6c7cf8ae38c59d455f9ae5ea9936601e59ca6c46745e	1	1	f1p4L
art:0f4086d73c8279a6158e1eeeac84ab02507d86103f56687f943cdd17c826f8d4	1	1	f1p4r2
art:7b62727c35aa4724688fbb3e8074ae19dff77467c0061232e09442ef480dcac5	1	1	f1p4r3
art:600acd040b7655091b61c415ebb2392bcf9efda385cb5523ea4ac8b6eb9fbc18	1	1	f1p8
art:359cbcaed744434ba133c6ca9c39c3ad5e14dc0479289abd97c329d4cad9859e	1	1	f1p8L
art:844e2b724a703a6190589f5a1bff621c592948078cd66159b0381c90f2434971	1	1	f1p8r2
art:b067850dca202439a5bdc7a46d560c93bf3a2095dd661456806de89d17f0b7bf	1	1	f1p8r3
art:08d1c0b5e460249bb32e49cac67946af20232921d1375f3ee5d3655bdcccce97	1	1	f3p2
art:30420eb8bbf82f1490927b26388ff9e56a11d657277a5d84573df727f2345f49	1	1	f3p4
art:8216735b9f9df79d448207e4609dc329ec2145cd9cf28067c4dd786da4776bc0	1	1	f3p4L
art:ec14dcd9c545be7331ebface04d1e44c64df1d30cdf3ee94c105c2b8d7e52ebd	1	1	f3p4r2
art:b2e6150b72a525d34c617cf3565e9ea8e165ef5abb81368251be9fa8c85d3fd1	1	1	f3p4r3
art:eda8fef4d7bdd1fdd0d7a7cf4f7468e583d367561374d0fca0e5a8c9043f9bce	1	1	f3p8
art:f83e041519c4bcf75debede911ecaa2773d33bcadd4848ebbd859042ef096dac	1	1	f3p8L
art:87481bbc0e7da0b99b20f83a60a9bb0f8aa1ee69822236d4a95bcede0ddbf4d3	1	1	f3p8r2
art:4a7914e2e25cf9f13486993a03e6f10e756fffeb58c5de33a7f64492f4653ba3	1	1	f3p8r3
art:077d2fc0cdc6af283b67e4640a10d7ff04c922b9064b0b708bdfb9573c632523	1	1	b3p4r4
art:eabcb6b803a609a2986b7b9965407a30c253f3e9d77a2b5dfea92532820b9794	1	1	b1p4r4
art:f0a8304461a6af8110de5418a558667eb68334ef706aa7a0e0998a331ff2df26	1	1	f3p4r4
art:3c8f8d15939650b76ce73e82cde87d2405726a926c211ee1da48b173c5c52436	1	1	f1p4r4
art:c322844903c1b12ac416ccaf90f8b80b810319d0b4a0961eec353a19035eb5d7	1	1	b3p8r4
art:1c4b1dfeef5fa2f9e8ef309744c856748c794fe5e25240ad3dde1e8a5b4c78cf	1	1	b1p8r4
art:c7a54e214cb0c2c511c9a03d7f318f0ef9d729e91a28f9891d34c03fabd60120	1	1	f3p8r4
art:4f2fb237d65b7938813faa7ec752551b018c4831ef0f6b95b72dc66a898e0c15	1	1	f1p8r4
