start 2026-09-25T10:43:41Z 26 artifacts
ok top commit_logs 3s
ok smollm2-135m__bf16__l40s__tp1__b16__i1024__o128__mixed__greedy__bi-eager records 7s
ok llama32-1b__bf16__l40s__tp1__b1__i4096__o512__mixed__greedy__bi-eager records 12s
ok llama32-1b__bf16__l40s__tp1__b1__i4096__o512__mixed__greedy__bi-eager programs 14s
ok llama32-1b__bf16__l40s__tp1__b64__i1024__o128__mixed__greedy__bi-eager records 71s
ok llama32-1b__bf16__l40s__tp1__b64__i1024__o128__mixed__greedy__bi-eager programs 31s
ok qwen25-15b__bf16__l40s__tp1__b1__i4096__o512__mixed__greedy__bi-eager records 13s
ok qwen25-15b__bf16__l40s__tp1__b1__i4096__o512__mixed__greedy__bi-eager programs 26s
ok gemma2-2b__bf16__l40s__tp1__b8__i1024__o128__mixed__greedy__bi-eager records 20s
ok gemma2-2b__bf16__l40s__tp1__b8__i1024__o128__mixed__greedy__bi-eager programs 6s
ok mistral-7b__bf16__l40s__tp1__b8__i1024__o128__mixed__greedy__bi-eager records 20s
ok mistral-7b__bf16__l40s__tp1__b8__i1024__o128__mixed__greedy__bi-eager programs 7s
ok olmoe-1b-7b__bf16__l40s__tp1__b32__i1024__o128__mixed__greedy__bi-eager records 44s
ok olmoe-1b-7b__bf16__l40s__tp1__b32__i1024__o128__mixed__greedy__bi-eager programs 14s
ok olmoe-1b-7b__bf16__l40s__tp1__b32__i1024__o128__mixed-arrivals__greedy__bi-eager records 52s
ok olmoe-1b-7b__bf16__l40s__tp1__b32__i1024__o128__mixed-arrivals__greedy__bi-eager programs 14s
ok olmoe-1b-7b__bf16__l40s__tp2__b8__i1024__o128__mixed__greedy__bi-eager records 32s
ok olmoe-1b-7b__bf16__l40s__tp2__b8__i1024__o128__mixed__greedy__bi-eager programs 8s
ok qwen3-4b__bf16__h100__tp1__b8__i1024__o128__mixed__greedy__bi-eager records 20s
ok qwen3-4b__bf16__h100__tp1__b8__i1024__o128__mixed__greedy__bi-eager programs 10s
ok qwen3-4b-fp8__fp8__h100__tp1__b8__i1024__o128__mixed__greedy__bi-eager records 20s
ok qwen3-4b-fp8__fp8__h100__tp1__b8__i1024__o128__mixed__greedy__bi-eager programs 8s
ok qwen3-30b-a3b__bf16__l40s__tp2__b2__i1024__o128__mixed__greedy__bi-eager records 11s
ok qwen3-30b-a3b__bf16__l40s__tp2__b2__i1024__o128__mixed__greedy__bi-eager programs 8s
ok llama32-1b__bf16__l40s__tp1__b1__i256__o32__mixed__stoch-t0.8-p0.95__bi-eager records 40s
ok llama32-1b__bf16__l40s__tp1__b1__i256__o32__mixed__stoch-t0.8-p0.95__bi-eager programs 1s
key deleted; done 2026-09-25T10:52:13Z
