bare-v1p8-r1 art:f77aecd5
bare-v1p4-r1 art:e0227b99 
bare-v3p8-r1 art:709aa6cc 
bare-v3p4-r1 art:d31539e1 
bare-x4p4-r1 art:25c4d33e 
bare-x4p8-r1 art:900f0542 
bare-v1p4-r2 art:1ab44987 
bare-v1p8-r2 art:e6fbde33 
bare-v3p8-r2 art:beef26fc 
bare-v3p4-r2 art:95bd2e97 
bare-x4p4-r2 art:30ac4c50 
bare-x4p8-r2 art:785e63f2 
bare-v1p4-r3 art:fe6e7274 
bare-v1p8-r3 art:e393f645 
bare-v3p4-r3 art:43fdf3f0 
bare-v3p8-r3 art:07a960bc 
bare-x4p4-r3 art:2a986fba 
bare-x4p8-r3 art:9b3a6096 
shared64p4-r1 art:46824988 
bare-v3p8-r2 art:b0219651 art:e9543111
bare-v3p8-r2 art:7428cdd5 art:e9543111
shared64p8-r1 art:f72bb306 
